Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Punjab National Bank",2755193,358230,3113423,51785.19,2048441,"(B) Regional Rural Bank","2015-12-23"
"Punjab National Bank",10242312,2019155,12261467,129257.36,9965275,"(A) Public Sector Banks","2015-12-30"
"Punjab National Bank",2788083,358693,3146776,52657.53,2055953,"(B) Regional Rural Bank","2015-12-30"
"Punjab National Bank",10337846,2027883,12365729,131264.06,9965676,"(A) Public Sector Banks","2016-01-06"
"Punjab National Bank",2823886,359460,3183346,53318.63,2066948,"(B) Regional Rural Bank","2016-01-06"
"Punjab National Bank",10407122,2034992,12442114,133776.63,9966105,"(A) Public Sector Banks","2016-01-13"
"Punjab National Bank",2863207,360101,3223308,53818.79,2108955,"(B) Regional Rural Bank","2016-01-13"
"Punjab National Bank",10508390,2044637,12553027,137740.04,9966583,"(A) Public Sector Banks","2016-01-20"
"Punjab National Bank",2885735,360916,3246651,54259.21,2140757,"(B) Regional Rural Bank","2016-01-20"
"Punjab National Bank",10563937,2049328,12613265,138256.84,9967340,"(A) Public Sector Banks","2016-01-27"
"Punjab National Bank",2889473,361148,3250621,54446.73,2163253,"(B) Regional Rural Bank","2016-01-27"
"Punjab National Bank",10754973,2062932,12817905,143673.71,9968293,"(A) Public Sector Banks","2016-02-10"
"Punjab National Bank",2908964,362185,3271149,55758.61,2231983,"(B) Regional Rural Bank","2016-02-10"
"Punjab National Bank",10813584,2067411,12880995,146298.82,9968746,"(A) Public Sector Banks","2016-02-17"
"Punjab National Bank",2912763,362476,3275239,56035.63,2242226,"(B) Regional Rural Bank","2016-02-17"
"Punjab National Bank",10872048,2064297,12936345,148016.83,9969092,"(A) Public Sector Banks","2016-02-24"
"Punjab National Bank",2912812,359792,3272604,56752.84,2256331,"(B) Regional Rural Bank","2016-02-24"
"Punjab National Bank",10912693,2066494,12979187,149359.16,9681382,"(A) Public Sector Banks","2016-03-02"
"Punjab National Bank",2920194,360239,3280433,57195.32,2266896,"(B) Regional Rural Bank","2016-03-02"
"Punjab National Bank",10948159,2067973,13016132,153294.18,9690456,"(A) Public Sector Banks","2016-03-09"
