Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Bank of India",4042095,5185596,9227691,80827.4,8648485,"(A) Public Sector Banks","2015-09-30"
"Bank of India",2033803,669682,2703485,9851.79,2425080,"(B) Regional Rural Bank","2015-09-30"
"Bank of India",4719593,5779887,10499480,109548.06,9726114,"(A) Public Sector Banks","2016-02-03"
"Bank of India",2216608,727630,2944238,21707.31,2654019,"(B) Regional Rural Bank","2016-02-03"
"Bank of India",5589523,6697308,12286831,171703.25,11812285,"(A) Public Sector Banks","2016-06-08"
"Bank of India",2371885,779543,3151428,29740.33,2654019,"(B) Regional Rural Bank","2016-06-08"
"Bank of India",6873557,7898044,14771601,223012.48,13199231,"(A) Public Sector Banks","2016-10-12"
"Bank of India",2588765,837808,3426573,33715.43,3202089,"(B) Regional Rural Bank","2016-10-12"
"Bank of India",7561682,8655263,16216945,339468.89,15721576,"(A) Public Sector Banks","2017-02-15"
"Bank of India",2780883,903621,3684504,72934.78,3202089,"(B) Regional Rural Bank","2017-02-15"
"Bank of India",8268194,9229754,17497948,347219.42,16430913,"(A) Public Sector Banks","2017-06-21"
"Bank of India",2867191,934088,3801279,72813.64,3632668,"(B) Regional Rural Bank","2017-06-21"
"Bank of India",8774910,9700281,18475191,372373.94,17310935,"(A) Public Sector Banks","2017-10-25"
"Bank of India",2973475,972569,3946044,73923.19,3690229,"(B) Regional Rural Bank","2017-10-25"
"Bank of India",9132452,10032349,19164801,419682.7,17903978,"(A) Public Sector Banks","2018-02-28"
"Bank of India",3047145,1000607,4047752,80544.44,3761427,"(B) Regional Rural Bank","2018-02-28"
"Bank of India",9499939,10382540,19882479,458638.72,18193697,"(A) Public Sector Banks","2018-07-11"
"Bank of India",3152395,1037149,4189544,85821.91,3782331,"(B) Regional Rural Bank","2018-07-11"
"Bank of India",5618112,6740125,12358237,173411.42,11849938,"(A) Public Sector Banks","2016-06-15"
"Bank of India",2385789,780565,3166354,29848.63,2654019,"(B) Regional Rural Bank","2016-06-15"
"Bank of India",5676343,6817099,12493442,176205.37,11926291,"(A) Public Sector Banks","2016-06-22"
"Bank of India",2395813,783596,3179409,29979.84,2654019,"(B) Regional Rural Bank","2016-06-22"
"Bank of India",5737188,6894033,12631221,178879.06,12060485,"(A) Public Sector Banks","2016-06-29"
"Bank of India",2408109,787220,3195329,30179.36,2654019,"(B) Regional Rural Bank","2016-06-29"
"Bank of India",5783415,6938453,12721868,179866.97,12082635,"(A) Public Sector Banks","2016-07-06"
"Bank of India",2418832,790328,3209160,30374.55,2654019,"(B) Regional Rural Bank","2016-07-06"
"Bank of India",5892879,7033072,12925951,185873.25,12242973,"(A) Public Sector Banks","2016-07-13"
"Bank of India",2426302,792664,3218966,30501.83,2654019,"(B) Regional Rural Bank","2016-07-13"
"Bank of India",5979846,7111447,13091293,188920.33,12363600,"(A) Public Sector Banks","2016-07-20"
"Bank of India",2438026,795684,3233710,30651.76,2706181,"(B) Regional Rural Bank","2016-07-20"
"Bank of India",6052758,7174636,13227394,191324.19,12578681,"(A) Public Sector Banks","2016-07-27"
"Bank of India",2450783,799375,3250158,30896.19,2851699,"(B) Regional Rural Bank","2016-07-27"
"Bank of India",6139256,7254818,13394074,194492.57,12758863,"(A) Public Sector Banks","2016-08-03"
"Bank of India",2463576,802816,3266392,31054.83,2960302,"(B) Regional Rural Bank","2016-08-03"
"Bank of India",6236873,7340191,13577064,199884.47,12788799,"(A) Public Sector Banks","2016-08-10"
"Bank of India",2478367,807000,3285367,31506.27,3130302,"(B) Regional Rural Bank","2016-08-10"
"Bank of India",6300281,7396549,13696830,202843.76,12842634,"(A) Public Sector Banks","2016-08-17"
"Bank of India",2488235,810117,3298352,31656.79,3174302,"(B) Regional Rural Bank","2016-08-17"
"Bank of India",6348312,7436760,13785072,203106.13,12847627,"(A) Public Sector Banks","2016-08-24"
"Bank of India",2497044,812858,3309902,31995.75,3202089,"(B) Regional Rural Bank","2016-08-24"
