Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"United Bank of India",5484589,3532524,9017113,553417.87,4881317,"(A) Public Sector Banks","2016-10-12"
"United Bank of India",6552436,95762,6648198,126667.58,2725084,"(B) Regional Rural Bank","2016-10-12"
"United Bank of India",6182157,3982283,10164440,737245.05,9102180,"(A) Public Sector Banks","2017-02-15"
"United Bank of India",7332879,105971,7438850,185884.36,6385509,"(B) Regional Rural Bank","2017-02-15"
"United Bank of India",6646909,4347620,10994529,821749.65,10132529,"(A) Public Sector Banks","2017-06-21"
"United Bank of India",7685805,105424,7791229,182669.25,6576465,"(B) Regional Rural Bank","2017-06-21"
"United Bank of India",7132564,4667097,11799661,875358.32,10185277,"(A) Public Sector Banks","2017-10-25"
"United Bank of India",8144582,105826,8250408,189597.82,6624149,"(B) Regional Rural Bank","2017-10-25"
"United Bank of India",7259256,4750241,12009497,1039947.83,10362322,"(A) Public Sector Banks","2018-02-28"
"United Bank of India",8308354,106690,8415044,200074.75,6726287,"(B) Regional Rural Bank","2018-02-28"
"United Bank of India",7508152,4906472,12414624,799358.15,10378306,"(A) Public Sector Banks","2018-07-11"
"United Bank of India",8487749,106785,8594534,207670.52,6738518,"(B) Regional Rural Bank","2018-07-11"
"United Bank of India",4607542,3040893,7648435,458329.58,4810075,"(A) Public Sector Banks","2016-06-15"
"United Bank of India",5581416,82364,5663780,110854.64,2414157,"(B) Regional Rural Bank","2016-06-15"
"United Bank of India",4671517,3064710,7736227,459600.85,4810075,"(A) Public Sector Banks","2016-06-22"
"United Bank of India",5595746,83378,5679124,112534.74,2414877,"(B) Regional Rural Bank","2016-06-22"
"United Bank of India",4724813,3091574,7816387,465551.38,4811127,"(A) Public Sector Banks","2016-06-29"
"United Bank of India",5626577,83948,5710525,112508.24,2415304,"(B) Regional Rural Bank","2016-06-29"
"United Bank of India",4757005,3111088,7868093,474198.81,4812797,"(A) Public Sector Banks","2016-07-06"
"United Bank of India",5644944,84191,5729135,115282.15,2416124,"(B) Regional Rural Bank","2016-07-06"
"United Bank of India",4833339,3139645,7972984,474798.84,4813242,"(A) Public Sector Banks","2016-07-13"
"United Bank of India",5742023,85098,5827121,115285.08,2416124,"(B) Regional Rural Bank","2016-07-13"
"United Bank of India",4902477,3172260,8074737,476456.05,4813242,"(A) Public Sector Banks","2016-07-20"
"United Bank of India",5844683,86489,5931172,115851.52,2417457,"(B) Regional Rural Bank","2016-07-20"
"United Bank of India",4969846,3205028,8174874,476729.07,4813527,"(A) Public Sector Banks","2016-07-27"
"United Bank of India",5858014,86980,5944994,118602.79,2418440,"(B) Regional Rural Bank","2016-07-27"
"United Bank of India",5028401,3233570,8261971,487930.63,4815160,"(A) Public Sector Banks","2016-08-03"
"United Bank of India",5952622,87607,6040229,118368.04,2382575,"(B) Regional Rural Bank","2016-08-03"
"United Bank of India",5101126,3267730,8368856,487747.83,4816429,"(A) Public Sector Banks","2016-08-10"
"United Bank of India",5972448,88460,6060908,120056.04,2420013,"(B) Regional Rural Bank","2016-08-10"
"United Bank of India",5140478,3288976,8429454,488182.82,4818125,"(A) Public Sector Banks","2016-08-17"
"United Bank of India",6041571,89096,6130667,120277.59,2420521,"(B) Regional Rural Bank","2016-08-17"
"United Bank of India",5201881,3323406,8525287,491181.31,4819237,"(A) Public Sector Banks","2016-08-24"
"United Bank of India",6226882,90694,6317576,120296,2420902,"(B) Regional Rural Bank","2016-08-24"
"United Bank of India",5242739,3343173,8585912,497916.65,4823337,"(A) Public Sector Banks","2016-08-31"
"United Bank of India",6298433,91790,6390223,121269.19,2422003,"(B) Regional Rural Bank","2016-08-31"
"United Bank of India",5289313,3370723,8660036,505115.36,4825586,"(A) Public Sector Banks","2016-09-07"
"United Bank of India",6311992,92424,6404416,121302.51,2422486,"(B) Regional Rural Bank","2016-09-07"
"United Bank of India",5320858,3397183,8718041,510452.28,4828033,"(A) Public Sector Banks","2016-09-14"
"United Bank of India",6322637,92644,6415281,121302.79,2422486,"(B) Regional Rural Bank","2016-09-14"
"United Bank of India",5375351,3438522,8813873,513547.17,4829115,"(A) Public Sector Banks","2016-09-21"
"United Bank of India",6385870,93712,6479582,123453.11,2523377,"(B) Regional Rural Bank","2016-09-21"
"United Bank of India",5430965,3489293,8920258,520266.05,4876361,"(A) Public Sector Banks","2016-09-28"
"United Bank of India",6493053,94839,6587892,125197.33,2723961,"(B) Regional Rural Bank","2016-09-28"
"United Bank of India",5444475,3503741,8948216,530647.6,4879644,"(A) Public Sector Banks","2016-10-05"
"United Bank of India",6552067,95717,6647784,126219.69,2725084,"(B) Regional Rural Bank","2016-10-05"
"United Bank of India",5534688,3559691,9094379,553782.65,4882394,"(A) Public Sector Banks","2016-10-19"
"United Bank of India",6587204,96462,6683666,126624.98,2726085,"(B) Regional Rural Bank","2016-10-19"
"United Bank of India",5580802,3591310,9172112,550497.61,4883927,"(A) Public Sector Banks","2016-10-26"
"United Bank of India",6652837,96970,6749807,126838.6,2726624,"(B) Regional Rural Bank","2016-10-26"
"United Bank of India",5615926,3612814,9228740,560133.7,4914304,"(A) Public Sector Banks","2016-11-02"
"United Bank of India",6659830,97432,6757262,127168.19,2726983,"(B) Regional Rural Bank","2016-11-02"
"United Bank of India",5662654,3637152,9299806,558163.56,4915369,"(A) Public Sector Banks","2016-11-09"
